Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-Mar-26,51.53,51.92,50.2,50.53,50.90475719,1625624,7244,82751995,809753,49.81,1.72,-1
27-Mar-26,53.88,53.88,52.36,52.93,52.81525772,478158,1885,25254038,223474,46.74,1.52,-0.95
25-Mar-26,51.91,54.75,51.91,54.47,54.05199377,1222781,5700,66093751,674554,55.17,2.84,2.56
24-Mar-26,52.61,53.16,51.1,51.39,51.95845632,759225,3033,39448159,311273,41,2.06,-1.22
23-Mar-26,52.87,52.87,50.25,50.99,51.0708207,844287,3087,43118430,450180,53.32,2.62,-1.88
20-Mar-26,54.7,54.71,52.86,53.21,53.60341257,381003,2245,20423061,143375,37.63,1.85,-1.49
19-Mar-26,54.49,54.79,52.25,52.48,53.63110118,458272,2924,24577632,223579,48.79,2.54,-2.01
18-Mar-26,51.51,55.95,51.26,55.59,55.18009904,5561329,4508,306874685,5239157,94.21,4.69,4.08
17-Mar-26,51.01,51.96,49.95,51.37,50.94114829,490504,2462,24986837,241795,49.3,2.01,0.36
16-Mar-26,50.35,51.38,49.38,50.53,50.30485541,388886,1779,19562854,157393,40.47,2,0.18
13-Mar-26,52.31,52.76,50.45,50.66,51.29952665,664415,3088,34084175,379336,57.09,2.31,-1.65
12-Mar-26,53.16,53.94,51.95,53.12,52.71221744,821252,4292,43290014,304221,37.04,1.99,-0.04
11-Mar-26,56.04,56.9,53.63,53.94,55.20839348,360947,2218,19927304,176208,48.82,3.27,-2.1
10-Mar-26,54.77,56.37,52.86,56.04,54.64741224,941896,5660,51472179,458256,48.65,3.51,1.27
09-Mar-26,54.78,54.78,52.79,53.55,53.46341899,633211,3686,33853625,215926,34.1,1.99,-1.23
06-Mar-26,55.63,57.58,55.57,55.85,56.58468963,460446,3448,26054194,207091,44.98,2.01,0.22
05-Mar-26,54.06,56.1,54.06,55.77,55.2418265,809812,5256,44735494,371280,45.85,2.04,1.71
04-Mar-26,57,57,54,54.27,55.21297014,2038051,9400,112526849,1145350,56.2,3,-2.73
02-Mar-26,51.01,57.65,51.01,57.28,56.62348048,2286904,11571,129492464,1198202,52.39,6.64,6.27
27-Feb-26,61.31,61.54,57.4,58.09,58.94388284,1192327,4497,70280383,439863,36.89,4.14,-3.22
26-Feb-26,61.32,63.05,60.85,61.55,62.05190843,1042220,3275,64671740,610261,58.55,2.2,0.23
25-Feb-26,62.01,62.07,60.28,61.27,60.99893969,306514,1911,18697029,75612,24.67,1.79,-0.74
24-Feb-26,61.7,61.89,59.86,60.66,60.71525781,435731,1800,26455520,178007,40.85,2.03,-1.04
23-Feb-26,63.01,63.02,61.25,61.69,61.99061929,503693,2285,31224241,204578,40.62,1.77,-1.32
20-Feb-26,62.11,63.2,61.97,62.49,62.69179817,324891,1583,20368001,163971,50.47,1.23,0.38
19-Feb-26,63.05,64.15,61.93,62.1,63.08311151,737070,3496,46496669,443184,60.13,2.22,-0.95
18-Feb-26,62.62,63.8,62.49,63.17,63.28020655,176038,897,11139721,78433,44.55,1.31,0.55
17-Feb-26,61.67,63.19,61.4,62.56,62.63969381,639989,3163,40088715,371956,58.12,1.79,0.89
16-Feb-26,60.95,62.1,60.38,61.79,61.27261953,521430,2259,31949382,275252,52.79,1.72,0.84
13-Feb-26,61.45,62.44,60.83,61.24,61.80303733,487204,3063,30110687,258505,53.06,1.61,-0.21
12-Feb-26,62.5,63.24,61.51,62.66,62.43852861,775133,4044,48398164,362736,46.8,1.73,0.16
11-Feb-26,63.9,63.9,62.2,62.72,62.89130698,438363,2603,27569222,202863,46.28,1.7,-1.18
10-Feb-26,64.88,65.17,63.7,63.89,64.49922424,1113750,5117,71836011,589596,52.94,1.47,-0.99
09-Feb-26,63.64,65.1,63.19,64.91,64.24429593,992055,4951,63733875,642838,64.8,1.91,1.27
06-Feb-26,63.1,63.53,61.87,63.06,62.56395446,774903,3142,48480996,375789,48.49,1.66,-0.04
05-Feb-26,65.35,65.36,62.85,63.08,64.07753538,1147876,4304,73553065,722563,62.95,2.51,-2.27
04-Feb-26,64,66.25,63.5,65.3,65.55649717,1683748,7842,110380621,936453,55.62,2.75,1.3
03-Feb-26,64.48,65.5,62.7,63.9,63.65549885,988734,4343,62938356,432594,43.75,2.8,-0.58
02-Feb-26,61.21,62.42,58.93,61.69,60.46963063,2128839,8654,128730108,991949,46.6,3.49,0.48
01-Feb-26,65.54,65.89,57,62.42,62.40401394,1281634,4778,79979106,461100,35.98,8.89,-3.12
30-Jan-26,61.75,65.69,61.74,65.33,64.09100839,2319951,5261,148687999,1510433,65.11,3.95,3.58
29-Jan-26,63.03,63.67,61.09,62.35,62.49256587,898828,2985,56170068,244952,27.25,2.58,-0.68
28-Jan-26,62.16,63.61,61.58,63.07,62.63906113,1870591,5559,117172064,747332,39.95,2.03,0.91
27-Jan-26,63.6,64.56,61.66,62.08,62.55147947,3005936,11190,188025744,1115141,37.1,2.9,-1.52
23-Jan-26,62.36,68,61.22,63.08,65.27907815,12967117,38596,846481444,4376188,33.75,6.78,0.72
22-Jan-26,58.01,62.55,58.01,62.02,61.31829525,4267211,7864,261658104,2043573,47.89,4.54,4.01
21-Jan-26,57.05,58.97,56.59,57.76,57.73265124,1347027,6700,77767440,637628,47.34,2.38,0.71
20-Jan-26,60.01,60.39,57.5,57.94,58.98195371,817675,3168,48228069,236561,28.93,2.89,-2.07
19-Jan-26,60.3,61.74,59.68,60.23,60.79560892,903968,4366,54957285,295487,32.69,2.06,-0.07
16-Jan-26,58.16,60.75,58.16,60.31,60.06389553,2232895,7538,134116372,1276776,57.18,2.59,2.15
14-Jan-26,57.31,59.38,57.08,59,58.75133284,749713,3331,44046638,496486,66.22,2.3,1.69
13-Jan-26,58.3,58.74,56.13,57.7,57.31701593,410339,1926,23519407,159855,38.96,2.61,-0.6
