DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
31-Mar-23,EQ,68.1,69.35,65.75,68.05,67.2,67.1,67.04,77.9,37.45,7319884,"49,07,20,742.40",22271
29-Mar-23,EQ,64,69,63.25,64.35,67.8,68.05,66.36,77.9,37.45,6900821,"45,79,47,674.15",25041
28-Mar-23,EQ,62.5,65.1,62.5,62.3,63.95,64.35,64.18,77.9,37.45,6893085,"44,24,04,193.65",23126
27-Mar-23,EQ,64,64.3,61.8,63.8,61.95,62.3,62.61,77.9,37.45,4836520,"30,27,98,486.30",18682
24-Mar-23,EQ,65.1,65.5,62.4,64.8,63.25,63.8,63.66,77.9,37.45,4637406,"29,52,34,913.65",14609
23-Mar-23,EQ,64,65.75,63.75,64.5,64.8,64.8,64.93,77.9,37.45,6979232,"45,31,59,728.10",25824
22-Mar-23,EQ,64.9,66.55,63.95,64.75,64.45,64.5,65.57,77.9,37.45,9030731,"59,21,33,944.85",23065
21-Mar-23,EQ,67,67.75,64.5,66.3,64.65,64.75,66.11,77.9,37.45,8277618,"54,72,69,598.90",27172
20-Mar-23,EQ,68.7,69.2,66,68.15,66.25,66.3,66.99,77.9,37.45,6666533,"44,65,90,076.65",38583
17-Mar-23,EQ,64.7,69.7,64.1,64.5,68,68.15,67.66,77.9,37.45,34048920,"2,30,37,35,606.80",47595
16-Mar-23,EQ,65.85,65.85,63,65.9,64.5,64.5,64.41,77.9,37.45,8572094,"55,21,50,613.30",27668
15-Mar-23,EQ,65.65,66.65,65,64.65,66,65.9,65.85,77.9,37.45,7166351,"47,19,22,475.10",26664
14-Mar-23,EQ,64.4,65.3,61.3,64.4,64.5,64.65,63.54,77.9,37.45,10654477,"67,69,83,286.95",65265
13-Mar-23,EQ,67.05,68,64,68.7,64.5,64.4,65.29,77.9,37.45,13421872,"87,63,33,766.70",81204
10-Mar-23,EQ,70,70,63.55,73.25,68.6,68.7,67.1,77.9,37.45,26226949,"1,75,99,17,246.50",100817
09-Mar-23,EQ,75.8,77.4,72.35,74.95,73.6,73.25,74.49,77.9,37.45,8820989,"65,70,67,678.90",51807
08-Mar-23,EQ,73.4,75.65,72,73.3,75.45,74.95,73.75,77.9,37.45,4498951,"33,17,78,832.80",20501
06-Mar-23,EQ,76.2,77.9,72.45,75.8,72.95,73.3,75.79,77.9,37.45,6712043,"50,86,76,033.15",34820
03-Mar-23,EQ,74.35,76.85,73.7,73.6,75.7,75.8,75.58,76.85,37.45,6790090,"51,32,11,463.35",29758
02-Mar-23,EQ,73,74.8,72.1,72.7,73.75,73.6,73.7,74.8,37.45,5689399,"41,93,09,484.95",24598
01-Mar-23,EQ,72.1,73.5,71.55,71.5,72.75,72.7,72.69,73.5,37.45,6756085,"49,10,86,612.20",24576
28-Feb-23,EQ,70,73.4,69.15,69.45,72.8,71.5,71.51,73.4,37.45,17366572,"1,24,18,64,877.55",59802
27-Feb-23,EQ,67,70.4,66.85,67.15,69.5,69.45,69.18,70.75,37.45,9703171,"67,12,50,622.25",35616
24-Feb-23,EQ,69.95,70.25,65,69.55,67.2,67.15,67.93,70.75,37.45,8443204,"57,35,30,507.95",29029
23-Feb-23,EQ,63.9,70.75,63.1,63.9,70.7,69.55,67.81,70.75,37.45,18138789,"1,23,00,19,611.60",55518
22-Feb-23,EQ,63.05,64,61.85,63.05,63.7,63.9,63.25,64.3,37.45,5221017,"33,02,24,421.40",20680
21-Feb-23,EQ,62.8,64.3,61.25,61.9,63.15,63.05,63.18,64.3,37.45,9120415,"57,62,61,777.85",32352
20-Feb-23,EQ,60,63,58.65,58.45,62.1,61.9,61.8,63.9,37.45,14201419,"87,76,00,404.45",41057
17-Feb-23,EQ,58.8,59.8,58.2,58.8,58.4,58.45,59,63.9,37.45,1816247,"10,71,67,156.45",6047
16-Feb-23,EQ,60.2,60.2,58.05,58.8,58.6,58.8,58.77,63.9,37.45,1941269,"11,40,90,803.25",5871
15-Feb-23,EQ,59.05,59.5,58.3,58.9,59,58.8,58.84,63.9,37.45,1527229,"8,98,63,066.35",5490
14-Feb-23,EQ,59.35,59.6,58.05,59.95,58.9,58.9,58.69,63.9,37.45,2024313,"11,88,06,691.35",7543
13-Feb-23,EQ,60.65,60.75,58.2,60.05,59.25,59.95,59.32,63.9,37.45,3622626,"21,49,04,310.25",13916
10-Feb-23,EQ,59,60.9,57.6,58,60,60.05,59.67,63.9,37.45,8099147,"48,33,10,350.40",26112
09-Feb-23,EQ,58.4,58.85,55.65,55.75,58.3,58,57.52,63.9,37.45,9581265,"55,11,10,136.30",27271
08-Feb-23,EQ,53.9,56.2,53.5,54,55.45,55.75,55.07,63.9,37.45,2627118,"14,46,86,917.30",10358
07-Feb-23,EQ,53.8,54.2,53.15,53.45,53.9,54,53.56,63.9,37.45,1085430,"5,81,31,419.25",4130
06-Feb-23,EQ,53.65,54.3,53.25,53.65,53.5,53.45,53.58,63.9,37.45,1400966,"7,50,59,818.70",6130
03-Feb-23,EQ,53.95,54.95,53.05,54.9,53.7,53.65,53.82,63.9,37.45,2000730,"10,76,73,503.80",8037
02-Feb-23,EQ,52.7,55.45,52.25,53.2,54.75,54.9,54.3,63.9,37.45,1527897,"8,29,63,006.80",8247
01-Feb-23,EQ,54.55,57.2,52.7,54.3,53.1,53.2,55.13,63.9,37.45,4562079,"25,15,14,942.05",14971
31-Jan-23,EQ,54.15,54.85,53.35,54.1,54.5,54.3,54.13,63.9,37.45,1870139,"10,12,24,704.75",9364
30-Jan-23,EQ,54.6,54.6,52.55,54.65,53.85,54.1,53.39,63.9,37.45,2633145,"14,05,87,745.70",9547
27-Jan-23,EQ,54.8,55.35,52.9,54.8,54,54.65,54.27,63.9,37.45,2191058,"11,88,97,780.50",7595
25-Jan-23,EQ,55.2,55.55,54,55.25,54.9,54.8,54.61,63.9,37.45,1032285,"5,63,70,804.10",4849
24-Jan-23,EQ,56.25,56.3,55,56.25,55.5,55.25,55.49,63.9,37.45,1238350,"6,87,11,354.95",6369
23-Jan-23,EQ,56.8,57.15,56.1,56.6,56.15,56.25,56.63,63.9,37.45,1771616,"10,03,23,406.10",9969
20-Jan-23,EQ,56.2,56.9,55.6,56.2,56.8,56.6,56.32,63.9,37.45,2175431,"12,25,11,330.50",6239
19-Jan-23,EQ,56.5,57.5,56.05,56.5,56.1,56.2,56.58,63.9,37.45,2101830,"11,89,28,298.60",7683
18-Jan-23,EQ,55.7,56.9,55.65,55.95,56.45,56.5,56.43,63.9,37.45,2621645,"14,79,50,208.65",10984
