DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
31-Mar-23,EQ,25.25,25.55,24.4,25.1,25.05,25.25,25.03,33.5,13.5,11737905,"29,37,97,622.55",10808
29-Mar-23,EQ,25.1,25.6,24.85,25.25,24.95,25.1,25.17,33.5,13.5,8663946,"21,80,91,558.10",13355
28-Mar-23,EQ,24.2,25.55,24,24.4,25,25.25,24.75,33.5,13.5,11363018,"28,12,26,043.95",12079
27-Mar-23,EQ,23.75,24.75,23.25,24.25,24.45,24.4,23.96,33.5,13.5,10596626,"25,38,57,174.95",13539
24-Mar-23,EQ,24.3,24.5,23.75,24.3,24,24.25,24.2,33.5,13.5,5042094,"12,20,34,877.70",8896
23-Mar-23,EQ,23.6,24.6,23.55,23.85,24.2,24.3,24.13,33.5,13.5,5885587,"14,20,45,282.00",8148
22-Mar-23,EQ,24.3,24.35,23.65,24.25,24,23.85,23.9,33.5,13.5,3451806,"8,24,83,416.40",5599
21-Mar-23,EQ,23.4,24.6,23,23.05,24.2,24.25,23.94,33.5,13.5,9667540,"23,14,03,504.15",19076
20-Mar-23,EQ,23.5,23.95,22.75,23.7,23.2,23.05,23.16,33.5,13.5,6101327,"14,12,81,138.60",10467
17-Mar-23,EQ,24.5,24.9,23.5,24.4,23.85,23.7,23.96,33.5,13.5,7625331,"18,27,00,625.85",12003
16-Mar-23,EQ,25,25,24.15,25.1,24.35,24.4,24.42,33.5,13.5,5632713,"13,75,59,516.80",10639
15-Mar-23,EQ,25.9,26.05,24.9,25.55,24.95,25.1,25.45,33.5,13.5,3956334,"10,06,90,477.05",11916
14-Mar-23,EQ,25.5,25.9,24.95,25.6,25.6,25.55,25.37,33.5,13.5,4593439,"11,65,15,472.80",9059
13-Mar-23,EQ,26.05,26.25,25.35,26.35,25.6,25.6,25.69,33.5,13.5,5299908,"13,61,42,235.60",9587
10-Mar-23,EQ,26.35,26.65,26.25,26.65,26.45,26.35,26.42,33.5,13.5,3859123,"10,19,77,108.70",6114
09-Mar-23,EQ,27,27.25,26.55,26.85,26.65,26.65,26.77,33.5,13.5,3466158,"9,27,84,358.55",5406
08-Mar-23,EQ,27.35,27.4,26.75,27.45,26.85,26.85,27.03,33.5,13.5,3767591,"10,18,24,136.45",6175
06-Mar-23,EQ,27.45,28.1,27.35,27.3,27.55,27.45,27.61,33.5,13.5,5281892,"14,58,34,422.15",6939
03-Mar-23,EQ,26.6,27.45,26.55,26.35,27.4,27.3,27.18,33.5,13.5,6469057,"17,58,24,885.35",7130
02-Mar-23,EQ,26.6,26.8,26.2,26.6,26.4,26.35,26.42,33.5,13.5,3177843,"8,39,70,833.55",5224
01-Mar-23,EQ,26.15,27.3,26.15,26.85,26.7,26.6,26.75,33.5,13.5,4609408,"12,32,79,776.00",7618
28-Feb-23,EQ,26.5,27,26.3,26.3,26.9,26.85,26.76,33.5,13.5,4681997,"12,52,90,790.95",7897
27-Feb-23,EQ,26.75,26.8,26.05,26.65,26.3,26.3,26.31,33.5,13.5,4738278,"12,46,52,025.90",11344
24-Feb-23,EQ,26.55,27.05,26.1,26.45,26.6,26.65,26.6,33.5,13.5,5525739,"14,69,79,601.85",6866
23-Feb-23,EQ,26.9,27.1,26.2,26.75,26.5,26.45,26.58,33.5,13.5,5408447,"14,37,69,731.35",11763
22-Feb-23,EQ,27.95,28,26.55,27.9,26.7,26.75,27.03,33.5,13.5,6308127,"17,05,05,341.30",10088
21-Feb-23,EQ,27.55,28.25,27.5,27.3,27.8,27.9,27.89,33.5,13.5,5023615,"14,00,86,321.50",8661
20-Feb-23,EQ,27.5,27.85,27.15,27.4,27.35,27.3,27.47,33.5,13.5,3941385,"10,82,63,084.20",5271
17-Feb-23,EQ,27.45,27.6,26.9,27.45,27.6,27.4,27.22,33.5,13.5,3946488,"10,74,39,997.00",6169
16-Feb-23,EQ,27.4,27.6,27.25,27.2,27.45,27.45,27.4,33.5,13.5,2296833,"6,29,36,713.90",5151
15-Feb-23,EQ,27.6,27.8,26.95,27.65,27.3,27.2,27.4,33.5,13.5,3034645,"8,31,42,826.30",6255
14-Feb-23,EQ,27.6,27.95,26.95,27.5,27.65,27.65,27.35,33.5,13.5,3851010,"10,53,33,635.90",7424
13-Feb-23,EQ,28.45,28.6,27.05,28.3,27.5,27.5,27.64,33.5,13.5,5763519,"15,92,91,181.70",10594
10-Feb-23,EQ,28.9,29.25,28.2,28.85,28.55,28.3,28.55,33.5,13.5,5195475,"14,83,45,886.95",7214
09-Feb-23,EQ,28.4,29.2,28.3,28.4,28.95,28.85,28.82,33.5,13.5,5069507,"14,61,13,667.05",9457
