Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-March-2026,51.53,51.92,50.20,50.53,50.904757188624183698,1625624,7244,82751995.00,809753,49.81,1.72,-1.00
27-March-2026,53.88,53.88,52.36,52.93,52.815257718160106073,478158,1885,25254038.00,223474,46.74,1.52,-0.95
25-March-2026,51.91,54.75,51.91,54.47,54.051993774846027211,1222781,5700,66093751.00,674554,55.17,2.84,2.56
24-March-2026,52.61,53.16,51.10,51.39,51.958456320590075405,759225,3033,39448159.00,311273,41.00,2.06,-1.22
23-March-2026,52.87,52.87,50.25,50.99,51.070820704333952790,844287,3087,43118430.00,450180,53.32,2.62,-1.88
20-March-2026,54.70,54.71,52.86,53.21,53.603412571554554688,381003,2245,20423061.00,143375,37.63,1.85,-1.49
19-March-2026,54.49,54.79,52.25,52.48,53.631101180085189581,458272,2924,24577632.00,223579,48.79,2.54,-2.01
18-March-2026,51.51,55.95,51.26,55.59,55.180099037478271830,5561329,4508,306874685.00,5239157,94.21,4.69,4.08
17-March-2026,51.01,51.96,49.95,51.37,50.941148288291226982,490504,2462,24986837.00,241795,49.30,2.01,0.36
16-March-2026,50.35,51.38,49.38,50.53,50.304855407497312837,388886,1779,19562854.00,157393,40.47,2.00,0.18
13-March-2026,52.31,52.76,50.45,50.66,51.299526651264646343,664415,3088,34084175.00,379336,57.09,2.31,-1.65
12-March-2026,53.16,53.94,51.95,53.12,52.712217443610487402,821252,4292,43290014.00,304221,37.04,1.99,-0.04
11-March-2026,56.04,56.90,53.63,53.94,55.208393476050500488,360947,2218,19927304.00,176208,48.82,3.27,-2.10
10-March-2026,54.77,56.37,52.86,56.04,54.647412240841876385,941896,5660,51472179.00,458256,48.65,3.51,1.27
9-March-2026,54.78,54.78,52.79,53.55,53.463418986720066454,633211,3686,33853625.00,215926,34.10,1.99,-1.23
